Device set to use cuda:0
[Raptor][raw_fdata]: loading csv from raptor_int/raw_fdata.csv
[Raptor][raw_fdata]: processed raw data and written to raptor_int/processed_fdata.csv
[Raptor][raw_fdata]: loading csv from raptor_int/raw_fdata_train.csv
[Raptor][raw_fdata]: processed raw data and written to raptor_int/processed_fdata_train.csv
[Raptor][fdataset]: processing Dataframe with window length 7
[Raptor][fdataset]: feature columns: ['Close', 'Volume', 'ema', 'sma', 'rsi', 'macd', 'macd_signal', 'macd_diff', 'daily_return', 'momentum', 'volatility', 'Close_lag1', 'Volume_lag1']
[Raptor][fdataset]: normalized given dataframe on above feature columns
[Raptor][fdataset]: shape of df before dropping: (80480, 20)
[Raptor][fdataset]: shape of db after dropping & reset indices: (75262, 21)
[Raptor][fdataset]: processing Dataframe with window length 7
[Raptor][fdataset]: feature columns: ['Close', 'Volume', 'ema', 'sma', 'rsi', 'macd', 'macd_signal', 'macd_diff', 'daily_return', 'momentum', 'volatility', 'Close_lag1', 'Volume_lag1']
[Raptor][fdataset]: normalized given dataframe on above feature columns
[Raptor][fdataset]: shape of df before dropping: (20120, 20)
[Raptor][fdataset]: shape of db after dropping & reset indices: (19178, 21)
[Raptor][__main__]: torch version : 2.7.0+cu126
[Raptor][__main__]: using device : cuda
[Raptor][train_model]: Epoch 61/300, Loss: 0.8610, Accuracy: 59.03%
[Raptor][train_model]: Epoch 62/300, Loss: 0.8579, Accuracy: 59.31%
[Raptor][train_model]: Epoch 63/300, Loss: 0.8547, Accuracy: 59.54%
[Raptor][train_model]: Epoch 64/300, Loss: 0.8513, Accuracy: 59.73%
[Raptor][train_model]: Epoch 65/300, Loss: 0.8481, Accuracy: 59.93%
[Raptor][train_model]: Epoch 66/300, Loss: 0.8445, Accuracy: 60.10%
[Raptor][train_model]: Epoch 67/300, Loss: 0.8369, Accuracy: 60.62%
[Raptor][train_model]: Epoch 68/300, Loss: 0.8361, Accuracy: 60.59%
[Raptor][train_model]: Epoch 69/300, Loss: 0.8341, Accuracy: 60.72%
[Raptor][train_model]: Epoch 70/300, Loss: 0.8269, Accuracy: 61.14%
[Raptor][train_model]: Epoch 71/300, Loss: 0.8247, Accuracy: 61.11%
[Raptor][train_model]: Epoch 72/300, Loss: 0.8217, Accuracy: 61.26%
[Raptor][train_model]: Epoch 73/300, Loss: 0.8178, Accuracy: 61.71%
[Raptor][train_model]: Epoch 74/300, Loss: 0.8162, Accuracy: 61.79%
[Raptor][train_model]: Epoch 75/300, Loss: 0.8094, Accuracy: 62.18%
[Raptor][train_model]: Epoch 76/300, Loss: 0.8087, Accuracy: 62.10%
[Raptor][train_model]: Epoch 77/300, Loss: 0.8025, Accuracy: 62.67%
[Raptor][train_model]: Epoch 78/300, Loss: 0.7993, Accuracy: 62.66%
[Raptor][train_model]: Epoch 79/300, Loss: 0.7984, Accuracy: 62.85%
[Raptor][train_model]: Epoch 80/300, Loss: 0.7942, Accuracy: 63.39%
[Raptor][train_model]: Epoch 81/300, Loss: 0.7916, Accuracy: 63.19%
[Raptor][train_model]: Epoch 82/300, Loss: 0.7865, Accuracy: 63.53%
[Raptor][train_model]: Epoch 83/300, Loss: 0.7831, Accuracy: 63.80%
[Raptor][train_model]: Epoch 84/300, Loss: 0.7812, Accuracy: 63.83%
[Raptor][train_model]: Epoch 85/300, Loss: 0.7788, Accuracy: 64.18%
[Raptor][train_model]: Epoch 86/300, Loss: 0.7745, Accuracy: 64.38%
[Raptor][train_model]: Epoch 87/300, Loss: 0.7707, Accuracy: 64.57%
[Raptor][train_model]: Epoch 88/300, Loss: 0.7661, Accuracy: 64.80%
[Raptor][train_model]: Epoch 89/300, Loss: 0.7627, Accuracy: 65.04%
[Raptor][train_model]: Epoch 90/300, Loss: 0.7612, Accuracy: 65.04%
[Raptor][train_model]: Epoch 91/300, Loss: 0.7561, Accuracy: 65.38%
[Raptor][train_model]: Epoch 92/300, Loss: 0.7542, Accuracy: 65.42%
[Raptor][train_model]: Epoch 93/300, Loss: 0.7559, Accuracy: 65.31%
[Raptor][train_model]: Epoch 94/300, Loss: 0.7482, Accuracy: 65.81%
[Raptor][train_model]: Epoch 95/300, Loss: 0.7458, Accuracy: 65.73%
[Raptor][train_model]: Epoch 96/300, Loss: 0.7415, Accuracy: 66.14%
[Raptor][train_model]: Epoch 97/300, Loss: 0.7375, Accuracy: 66.45%
[Raptor][train_model]: Epoch 98/300, Loss: 0.7376, Accuracy: 66.50%
[Raptor][train_model]: Epoch 99/300, Loss: 0.7332, Accuracy: 66.70%
[Raptor][train_model]: Epoch 100/300, Loss: 0.7316, Accuracy: 66.85%
[Raptor][train_model]: Epoch 101/300, Loss: 0.7286, Accuracy: 66.88%
[Raptor][train_model]: Epoch 102/300, Loss: 0.7267, Accuracy: 66.84%
[Raptor][train_model]: Epoch 103/300, Loss: 0.7218, Accuracy: 67.21%
[Raptor][train_model]: Epoch 104/300, Loss: 0.7199, Accuracy: 67.51%
[Raptor][train_model]: Epoch 105/300, Loss: 0.7172, Accuracy: 67.44%
[Raptor][train_model]: Epoch 106/300, Loss: 0.7175, Accuracy: 67.45%
[Raptor][train_model]: Epoch 107/300, Loss: 0.7100, Accuracy: 67.93%
[Raptor][train_model]: Epoch 108/300, Loss: 0.7082, Accuracy: 67.96%
[Raptor][train_model]: Epoch 109/300, Loss: 0.7070, Accuracy: 68.06%
[Raptor][train_model]: Epoch 110/300, Loss: 0.7067, Accuracy: 68.19%
[Raptor][train_model]: Epoch 111/300, Loss: 0.6992, Accuracy: 68.32%
[Raptor][train_model]: Epoch 112/300, Loss: 0.6974, Accuracy: 68.65%
[Raptor][train_model]: Epoch 113/300, Loss: 0.6933, Accuracy: 68.90%
[Raptor][train_model]: Epoch 114/300, Loss: 0.6928, Accuracy: 68.74%
[Raptor][train_model]: Epoch 115/300, Loss: 0.6902, Accuracy: 69.09%
[Raptor][train_model]: Epoch 116/300, Loss: 0.6848, Accuracy: 69.30%
[Raptor][train_model]: Epoch 117/300, Loss: 0.6885, Accuracy: 68.91%
[Raptor][train_model]: Epoch 118/300, Loss: 0.6823, Accuracy: 69.43%
[Raptor][train_model]: Epoch 119/300, Loss: 0.6796, Accuracy: 69.72%
[Raptor][train_model]: Epoch 120/300, Loss: 0.6788, Accuracy: 69.58%
[Raptor][train_model]: Epoch 121/300, Loss: 0.6765, Accuracy: 69.78%
[Raptor][train_model]: Epoch 122/300, Loss: 0.6730, Accuracy: 69.89%
[Raptor][train_model]: Epoch 123/300, Loss: 0.6696, Accuracy: 69.91%
[Raptor][train_model]: Epoch 124/300, Loss: 0.6684, Accuracy: 70.20%
[Raptor][train_model]: Epoch 125/300, Loss: 0.6706, Accuracy: 70.14%
[Raptor][train_model]: Epoch 126/300, Loss: 0.6661, Accuracy: 70.30%
[Raptor][train_model]: Epoch 127/300, Loss: 0.6610, Accuracy: 70.51%
[Raptor][train_model]: Epoch 128/300, Loss: 0.6568, Accuracy: 70.85%
[Raptor][train_model]: Epoch 129/300, Loss: 0.6571, Accuracy: 70.78%
[Raptor][train_model]: Epoch 130/300, Loss: 0.6544, Accuracy: 70.85%
[Raptor][train_model]: Epoch 131/300, Loss: 0.6523, Accuracy: 70.91%
[Raptor][train_model]: Epoch 132/300, Loss: 0.6533, Accuracy: 71.00%
[Raptor][train_model]: Epoch 133/300, Loss: 0.6495, Accuracy: 71.08%
[Raptor][train_model]: Epoch 134/300, Loss: 0.6428, Accuracy: 71.43%
[Raptor][train_model]: Epoch 135/300, Loss: 0.6430, Accuracy: 71.40%
[Raptor][train_model]: Epoch 136/300, Loss: 0.6402, Accuracy: 71.56%
[Raptor][train_model]: Epoch 137/300, Loss: 0.6397, Accuracy: 71.54%
[Raptor][train_model]: Epoch 138/300, Loss: 0.6381, Accuracy: 71.81%
[Raptor][train_model]: Epoch 139/300, Loss: 0.6370, Accuracy: 71.66%
[Raptor][train_model]: Epoch 140/300, Loss: 0.6342, Accuracy: 72.03%
[Raptor][train_model]: Epoch 141/300, Loss: 0.6305, Accuracy: 72.26%
[Raptor][train_model]: Epoch 142/300, Loss: 0.6287, Accuracy: 72.20%
[Raptor][train_model]: Epoch 143/300, Loss: 0.6278, Accuracy: 72.13%
[Raptor][train_model]: Epoch 144/300, Loss: 0.6213, Accuracy: 72.56%
[Raptor][train_model]: Epoch 145/300, Loss: 0.6220, Accuracy: 72.53%
[Raptor][train_model]: Epoch 146/300, Loss: 0.6204, Accuracy: 72.70%
[Raptor][train_model]: Epoch 147/300, Loss: 0.6190, Accuracy: 72.60%
[Raptor][train_model]: Epoch 148/300, Loss: 0.6129, Accuracy: 73.05%
[Raptor][train_model]: Epoch 149/300, Loss: 0.6144, Accuracy: 72.80%
[Raptor][train_model]: Epoch 150/300, Loss: 0.6116, Accuracy: 73.25%
[Raptor][train_model]: Epoch 151/300, Loss: 0.6101, Accuracy: 73.26%
[Raptor][train_model]: Epoch 152/300, Loss: 0.6048, Accuracy: 73.46%
[Raptor][train_model]: Epoch 153/300, Loss: 0.6075, Accuracy: 73.38%
[Raptor][train_model]: Epoch 154/300, Loss: 0.6058, Accuracy: 73.57%
[Raptor][train_model]: Epoch 155/300, Loss: 0.6067, Accuracy: 73.26%
[Raptor][train_model]: Epoch 156/300, Loss: 0.6025, Accuracy: 73.64%
[Raptor][train_model]: Epoch 157/300, Loss: 0.5986, Accuracy: 73.84%
[Raptor][train_model]: Epoch 158/300, Loss: 0.6009, Accuracy: 73.74%
[Raptor][train_model]: Epoch 159/300, Loss: 0.5959, Accuracy: 73.94%
[Raptor][train_model]: Epoch 160/300, Loss: 0.5930, Accuracy: 74.09%
[Raptor][train_model]: Epoch 161/300, Loss: 0.5865, Accuracy: 74.53%
[Raptor][train_model]: Epoch 162/300, Loss: 0.5910, Accuracy: 74.27%
[Raptor][train_model]: Epoch 163/300, Loss: 0.5869, Accuracy: 74.47%
[Raptor][train_model]: Epoch 164/300, Loss: 0.5884, Accuracy: 74.40%
[Raptor][train_model]: Epoch 165/300, Loss: 0.5831, Accuracy: 74.51%
[Raptor][train_model]: Epoch 166/300, Loss: 0.5859, Accuracy: 74.41%
[Raptor][train_model]: Epoch 167/300, Loss: 0.5852, Accuracy: 74.38%
[Raptor][train_model]: Epoch 168/300, Loss: 0.5801, Accuracy: 74.75%
[Raptor][train_model]: Epoch 169/300, Loss: 0.5787, Accuracy: 74.75%
[Raptor][train_model]: Epoch 170/300, Loss: 0.5748, Accuracy: 74.94%
[Raptor][train_model]: Epoch 171/300, Loss: 0.5741, Accuracy: 74.97%
[Raptor][train_model]: Epoch 172/300, Loss: 0.5748, Accuracy: 75.06%
[Raptor][train_model]: Epoch 173/300, Loss: 0.5687, Accuracy: 75.46%
[Raptor][train_model]: Epoch 174/300, Loss: 0.5675, Accuracy: 75.37%
[Raptor][train_model]: Epoch 175/300, Loss: 0.5666, Accuracy: 75.34%
[Raptor][train_model]: Epoch 176/300, Loss: 0.5712, Accuracy: 75.23%
[Raptor][train_model]: Epoch 177/300, Loss: 0.5660, Accuracy: 75.40%
[Raptor][train_model]: Epoch 178/300, Loss: 0.5625, Accuracy: 75.80%
[Raptor][train_model]: Epoch 179/300, Loss: 0.5616, Accuracy: 75.73%
[Raptor][train_model]: Epoch 180/300, Loss: 0.5648, Accuracy: 75.40%
[Raptor][train_model]: Epoch 181/300, Loss: 0.5598, Accuracy: 75.78%
[Raptor][train_model]: Epoch 182/300, Loss: 0.5591, Accuracy: 75.83%
[Raptor][train_model]: Epoch 183/300, Loss: 0.5579, Accuracy: 75.92%
[Raptor][train_model]: Epoch 184/300, Loss: 0.5581, Accuracy: 75.93%
[Raptor][train_model]: Epoch 185/300, Loss: 0.5529, Accuracy: 76.13%
[Raptor][train_model]: Epoch 186/300, Loss: 0.5554, Accuracy: 75.94%
[Raptor][train_model]: Epoch 187/300, Loss: 0.5507, Accuracy: 75.96%
[Raptor][train_model]: Epoch 188/300, Loss: 0.5515, Accuracy: 75.95%
[Raptor][train_model]: Epoch 189/300, Loss: 0.5488, Accuracy: 76.35%
[Raptor][train_model]: Epoch 190/300, Loss: 0.5466, Accuracy: 76.43%
[Raptor][train_model]: Epoch 191/300, Loss: 0.5437, Accuracy: 76.59%
[Raptor][train_model]: Epoch 192/300, Loss: 0.5436, Accuracy: 76.56%
[Raptor][train_model]: Epoch 193/300, Loss: 0.5440, Accuracy: 76.38%
[Raptor][train_model]: Epoch 194/300, Loss: 0.5439, Accuracy: 76.55%
[Raptor][train_model]: Epoch 195/300, Loss: 0.5388, Accuracy: 76.75%
[Raptor][train_model]: Epoch 196/300, Loss: 0.5397, Accuracy: 76.81%
[Raptor][train_model]: Epoch 197/300, Loss: 0.5351, Accuracy: 76.96%
[Raptor][train_model]: Epoch 198/300, Loss: 0.5386, Accuracy: 77.02%
[Raptor][train_model]: Epoch 199/300, Loss: 0.5315, Accuracy: 77.22%
[Raptor][train_model]: Epoch 200/300, Loss: 0.5335, Accuracy: 77.00%
[Raptor][train_model]: Epoch 201/300, Loss: 0.5306, Accuracy: 77.27%
[Raptor][train_model]: Epoch 202/300, Loss: 0.5278, Accuracy: 77.39%
[Raptor][train_model]: Epoch 203/300, Loss: 0.5280, Accuracy: 77.30%
[Raptor][train_model]: Epoch 204/300, Loss: 0.5287, Accuracy: 77.30%
[Raptor][train_model]: Epoch 205/300, Loss: 0.5280, Accuracy: 77.21%
[Raptor][train_model]: Epoch 206/300, Loss: 0.5265, Accuracy: 77.41%
[Raptor][train_model]: Epoch 207/300, Loss: 0.5260, Accuracy: 77.28%
[Raptor][train_model]: Epoch 208/300, Loss: 0.5276, Accuracy: 77.35%
[Raptor][train_model]: Epoch 209/300, Loss: 0.5214, Accuracy: 77.72%
[Raptor][train_model]: Epoch 210/300, Loss: 0.5202, Accuracy: 77.80%
[Raptor][train_model]: Epoch 211/300, Loss: 0.5195, Accuracy: 77.89%
[Raptor][train_model]: Epoch 212/300, Loss: 0.5187, Accuracy: 77.82%
[Raptor][train_model]: Epoch 213/300, Loss: 0.5187, Accuracy: 77.74%
[Raptor][train_model]: Epoch 214/300, Loss: 0.5173, Accuracy: 77.90%
[Raptor][train_model]: Epoch 215/300, Loss: 0.5122, Accuracy: 77.96%
[Raptor][train_model]: Epoch 216/300, Loss: 0.5112, Accuracy: 78.12%
[Raptor][train_model]: Epoch 217/300, Loss: 0.5131, Accuracy: 78.16%
[Raptor][train_model]: Epoch 218/300, Loss: 0.5104, Accuracy: 78.26%
[Raptor][train_model]: Epoch 219/300, Loss: 0.5066, Accuracy: 78.55%
[Raptor][train_model]: Epoch 220/300, Loss: 0.5068, Accuracy: 78.46%
[Raptor][train_model]: Epoch 221/300, Loss: 0.5085, Accuracy: 78.27%
[Raptor][train_model]: Epoch 222/300, Loss: 0.5036, Accuracy: 78.51%
[Raptor][train_model]: Epoch 223/300, Loss: 0.5028, Accuracy: 78.53%
[Raptor][train_model]: Epoch 224/300, Loss: 0.5055, Accuracy: 78.33%
[Raptor][train_model]: Epoch 225/300, Loss: 0.5023, Accuracy: 78.67%
[Raptor][train_model]: Epoch 226/300, Loss: 0.4991, Accuracy: 78.96%
[Raptor][train_model]: Epoch 227/300, Loss: 0.4994, Accuracy: 78.92%
[Raptor][train_model]: Epoch 228/300, Loss: 0.5028, Accuracy: 78.71%
[Raptor][train_model]: Epoch 229/300, Loss: 0.4945, Accuracy: 78.94%
